路径ID,路径描述,间接效应均值,间接效应HDI下限,间接效应HDI上限,间接效应标准差,直接效应均值,直接效应HDI下限,直接效应HDI上限,直接效应标准差,总效应均值,总效应HDI下限,总效应HDI上限,总效应标准差,中介比例,中介比例百分比,主要影响类型,影响强度,间接效应方向,直接效应方向,中介类型,显著性概率,是否显著,正向效应概率,负向效应概率,结论
1,疾病_反流性食管炎 → 疾病_糖尿病 → 疾病_高尿酸血症,-0.1322,-0.2699,-0.0062,0.0735,-0.0463,-0.3008,0.216,0.1388,-0.1786,-0.4406,0.1098,0.1473,1.6219,162.2,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.987,是,0.013,0.987,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为162.2%。
2,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片,-0.0976,-0.2169,0.0165,0.0655,-0.0038,-0.2982,0.2696,0.1526,-0.1014,-0.3965,0.1936,0.1555,2.8479,284.8,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9725,是,0.0275,0.9725,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为284.8%。
3,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿卡波糖片,-0.1436,-0.2877,-0.0195,0.0764,-0.0004,-0.2425,0.2731,0.137,-0.144,-0.4397,0.1096,0.1466,1.2574,125.7,间接影响（中介效应）,强,负向中介,负向直接效应,完全中介,0.9895,是,0.0105,0.9895,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为125.7%。
4,疾病_反流性食管炎 → 疾病_糖尿病 → 药物_阿司匹林肠溶片,-0.167,-0.3233,-0.0171,0.0843,0.1117,-0.148,0.3671,0.1371,-0.0554,-0.3516,0.206,0.1489,7.9635,796.3,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.987,是,0.013,0.987,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为796.3%。
5,疾病_反流性食管炎 → 疾病_糖尿病 → 检验_葡萄糖,-0.1707,-0.3451,-0.0302,0.0866,0.1928,-0.0624,0.447,0.1372,0.0221,-0.2666,0.2873,0.1507,78.1774,7817.7,直接影响,强,负向中介,正向直接效应,完全中介,0.9845,是,0.0155,0.9845,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为7817.7%。
6,疾病_反流性食管炎 → 药物_氯化钠注射液 → 检验_谷草/谷丙,-0.0172,-0.0875,0.0382,0.0328,-0.0627,-0.3528,0.2034,0.1461,-0.0798,-0.3553,0.1901,0.1448,0.344,34.4,直接影响,强,负向中介,负向直接效应,部分中介,0.7035,否,0.2965,0.7035,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为34.4%。
7,疾病_反流性食管炎 → 药物_氯化钠注射液 → 药物_肝素钠注射液,0.0725,-0.0351,0.2154,0.0667,-0.1437,-0.4023,0.0937,0.133,-0.0712,-0.3472,0.188,0.1446,-1.4812,-148.1,直接影响,强,正向中介,负向直接效应,完全中介,0.8935,否,0.8935,0.1065,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-148.1%。
8,疾病_高血压 → 检验_总蛋白 → 疾病_动脉硬化,0.0098,-0.13,0.1413,0.07,0.1166,-0.1737,0.4357,0.1618,0.1264,-0.1591,0.3953,0.1475,0.212,21.2,直接影响,强,正向中介,正向直接效应,部分中介,0.548,否,0.548,0.452,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为21.2%。
9,疾病_高血压 → 检验_总蛋白 → 药物_苯磺酸氨氯地平片,0.0968,-0.022,0.2464,0.0711,0.1722,-0.1094,0.4687,0.156,0.269,-0.017,0.5188,0.1445,0.5744,57.4,直接影响,强,正向中介,正向直接效应,部分中介,0.9375,否,0.9375,0.0625,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为57.4%。
10,疾病_高血压 → 检验_总蛋白 → 检验_氯,0.146,0.0058,0.3018,0.0824,-0.132,-0.4183,0.1581,0.1533,0.014,-0.2727,0.2643,0.1449,-1.0873,-108.7,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9875,是,0.9875,0.0125,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为-108.7%。
11,疾病_高血压 → 药物_阿司匹林肠溶片 → 疾病_糖尿病,0.0271,-0.1204,0.16,0.0741,0.0597,-0.1847,0.3084,0.1296,0.0868,-0.2018,0.3511,0.1459,0.759,75.9,直接影响,强,正向中介,正向直接效应,部分中介,0.639,否,0.639,0.361,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为75.9%。
12,疾病_高血压 → 检验_碳酸氢盐 → 检验_总蛋白,-0.0401,-0.1272,0.0227,0.042,0.4504,0.1907,0.7237,0.1401,0.4103,0.1438,0.6643,0.1409,-0.112,-11.2,直接影响,强,负向中介,正向直接效应,弱中介,0.8815,否,0.1185,0.8815,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-11.2%。
13,疾病_高血压 → 检验_碳酸氢盐 → 检验_尿酸,0.0776,-0.0312,0.2052,0.0647,-0.085,-0.3496,0.1806,0.1433,-0.0075,-0.2793,0.2681,0.1485,0.7123,71.2,直接影响,强,正向中介,负向直接效应,部分中介,0.9325,否,0.9325,0.0675,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为71.2%。
14,疾病_高血压 → 检验_碳酸氢盐 → 检验_磷,-0.0236,-0.1075,0.0407,0.0389,-0.1658,-0.4494,0.1235,0.1516,-0.1894,-0.4638,0.0965,0.15,-0.0307,-3.1,直接影响,强,负向中介,负向直接效应,弱中介,0.7525,否,0.2475,0.7525,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-3.1%。
15,疾病_高血压 → 药物_阿卡波糖片 → 疾病_冠状动脉粥样硬化性心脏病,0.0363,-0.0784,0.1668,0.0652,0.1275,-0.1556,0.4514,0.1595,0.1638,-0.1132,0.453,0.1496,-2.0685,-206.8,直接影响,强,正向中介,正向直接效应,完全中介,0.713,否,0.713,0.287,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-206.8%。
16,检验_尿酸 → 检验_碳酸氢盐 → 检验_总蛋白,-0.0455,-0.1638,0.0559,0.0581,0.1221,-0.1898,0.402,0.1555,0.0766,-0.2118,0.344,0.1495,-0.1186,-11.9,直接影响,强,负向中介,正向直接效应,弱中介,0.8125,否,0.1875,0.8125,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-11.9%。
17,检验_尿酸 → 检验_碳酸氢盐 → 检验_磷,-0.1001,-0.2212,0.0126,0.0652,0.4477,0.1614,0.7055,0.1455,0.3476,0.0684,0.6026,0.141,-0.3789,-37.9,直接影响,强,负向中介,正向直接效应,部分中介,0.976,是,0.024,0.976,该路径存在显著的正向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为-37.9%。
18,检验_尿酸 → 检验_磷 → 药物_碳酸钙片,0.1367,0.0091,0.2866,0.0761,-0.0692,-0.3705,0.1802,0.1441,0.0676,-0.2194,0.3332,0.1453,1.5754,157.5,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9905,是,0.9905,0.0095,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为157.5%。
19,检验_尿酸 → 药物_硫酸氢氯吡格雷片 → 药物_苯磺酸氨氯地平片,0.1351,0.0081,0.291,0.0776,-0.0696,-0.3123,0.1834,0.1353,0.0655,-0.1978,0.3384,0.145,0.1045,10.4,间接影响（中介效应）,强,正向中介,负向直接效应,弱中介,0.981,是,0.981,0.019,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为弱中介，中介比例为10.4%。
20,检验_尿酸 → 疾病_混合痔 → 疾病_高脂血症,0.1398,0.0078,0.2887,0.0784,0.0329,-0.2552,0.3185,0.1528,0.1728,-0.1429,0.438,0.1529,0.9277,92.8,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.99,是,0.99,0.01,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为92.8%。
21,检验_尿酸 → 疾病_混合痔 → 检验_葡萄糖,0.1233,-0.0028,0.263,0.0747,0.0847,-0.1868,0.3632,0.1453,0.2079,-0.0571,0.4885,0.1454,7.7348,773.5,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.982,是,0.982,0.018,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为773.5%。
22,疾病_糖尿病 → 疾病_高尿酸血症 → 疾病_脂肪肝,-0.014,-0.1666,0.1267,0.0765,0.1928,-0.143,0.4746,0.1632,0.1788,-0.0867,0.4441,0.1435,-0.0769,-7.7,直接影响,强,负向中介,正向直接效应,弱中介,0.5795,否,0.4205,0.5795,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-7.7%。
23,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_高血压,0.206,0.0409,0.3937,0.0956,-0.1182,-0.4198,0.1423,0.1517,0.0878,-0.1822,0.3668,0.1472,4.4679,446.8,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9965,是,0.9965,0.0035,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为446.8%。
24,疾病_糖尿病 → 药物_阿卡波糖片 → 疾病_冠状动脉粥样硬化性心脏病,0.1015,-0.0604,0.2522,0.0828,-0.1597,-0.4618,0.1446,0.1612,-0.0582,-0.3201,0.2236,0.1453,-3.5015,-350.2,直接影响,强,正向中介,负向直接效应,完全中介,0.9115,否,0.9115,0.0885,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-350.2%。
25,疾病_糖尿病 → 检验_葡萄糖 → 疾病_混合痔,-0.1537,-0.3413,-0.0084,0.0874,-0.0848,-0.3682,0.2444,0.1616,-0.2385,-0.5153,0.0306,0.1453,0.2484,24.8,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.974,是,0.026,0.974,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为24.8%。
26,疾病_糖尿病 → 检验_葡萄糖 → 疾病_冠状动脉粥样硬化性心脏病,-0.1106,-0.2873,0.0438,0.0875,0.0509,-0.2454,0.3514,0.161,-0.0596,-0.3509,0.1896,0.1451,0.9079,90.8,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.912,否,0.088,0.912,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为90.8%。
27,检验_谷草/谷丙 → 疾病_糖尿病 → 疾病_高尿酸血症,-0.0893,-0.2295,0.0346,0.0719,0.154,-0.0999,0.4345,0.1398,0.0647,-0.2279,0.3579,0.1525,-3.4834,-348.3,直接影响,强,负向中介,正向直接效应,完全中介,0.9245,否,0.0755,0.9245,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-348.3%。
28,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_盐酸羟考酮缓释片,-0.0533,-0.1536,0.0265,0.0503,-0.1788,-0.455,0.0713,0.1402,-0.2321,-0.5142,0.0329,0.1454,0.2064,20.6,直接影响,强,负向中介,负向直接效应,部分中介,0.8985,否,0.1015,0.8985,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为20.6%。
29,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_阿卡波糖片,-0.0883,-0.2269,0.042,0.0733,0.0433,-0.2497,0.2949,0.1434,-0.0451,-0.3617,0.2274,0.1568,1.6592,165.9,间接影响（中介效应）,强,负向中介,正向直接效应,完全中介,0.905,否,0.095,0.905,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为165.9%。
30,检验_谷草/谷丙 → 疾病_糖尿病 → 药物_阿司匹林肠溶片,-0.1062,-0.263,0.0648,0.0871,0.3323,0.0928,0.5519,0.1231,0.2262,-0.0527,0.4959,0.1466,-0.6309,-63.1,直接影响,强,负向中介,正向直接效应,部分中介,0.902,否,0.098,0.902,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-63.1%。
31,检验_谷草/谷丙 → 疾病_糖尿病 → 检验_葡萄糖,-0.0972,-0.2532,0.0482,0.0798,0.1818,-0.0691,0.4236,0.1301,0.0846,-0.1793,0.3882,0.1495,-1.1694,-116.9,直接影响,强,负向中介,正向直接效应,完全中介,0.912,否,0.088,0.912,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-116.9%。
32,检验_谷草/谷丙 → 药物_硫酸氢氯吡格雷片 → 药物_苯磺酸氨氯地平片,-0.1012,-0.2509,0.006,0.0699,-0.1321,-0.3676,0.1255,0.1304,-0.2334,-0.5021,0.021,0.1383,-1.117,-111.7,直接影响,强,负向中介,负向直接效应,完全中介,0.9575,是,0.0425,0.9575,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为完全中介，中介比例为-111.7%。
33,疾病_高脂血症 → 疾病_反流性食管炎 → 药物_艾司唑仑片,0.1582,0.0008,0.3059,0.0824,0.1313,-0.1449,0.4164,0.1469,0.2895,0.0251,0.5579,0.1405,0.8139,81.4,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.991,是,0.991,0.009,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为81.4%。
34,疾病_高脂血症 → 疾病_反流性食管炎 → 疾病_糖尿病,-0.1579,-0.3256,-0.0136,0.084,0.1363,-0.1291,0.4542,0.154,-0.0217,-0.3069,0.2442,0.1455,0.4577,45.8,间接影响（中介效应）,强,负向中介,正向直接效应,部分中介,0.9835,是,0.0165,0.9835,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为45.8%。
35,疾病_高脂血症 → 疾病_反流性食管炎 → 药物_氯化钠注射液,0.1025,-0.0382,0.2399,0.0763,-0.175,-0.4781,0.1114,0.1559,-0.0725,-0.3406,0.2041,0.1462,3.1748,317.5,直接影响,强,正向中介,负向直接效应,完全中介,0.9335,否,0.9335,0.0665,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为317.5%。
36,疾病_高脂血症 → 药物_阿托伐他汀钙片 → 疾病_高尿酸血症,0.1191,-0.0302,0.2978,0.0886,-0.0944,-0.43,0.2054,0.1671,0.0247,-0.2692,0.3118,0.1548,0.3984,39.8,间接影响（中介效应）,强,正向中介,负向直接效应,部分中介,0.9355,否,0.9355,0.0645,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为39.8%。
37,疾病_高脂血症 → 疾病_动脉硬化 → 疾病_脂肪肝,0.1946,0.0445,0.3543,0.0853,0.1001,-0.194,0.3574,0.1458,0.2947,0.0282,0.5691,0.1431,0.5166,51.7,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.997,是,0.997,0.003,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为51.7%。
38,疾病_高脂血症 → 疾病_混合痔 → 检验_尿酸,0.1436,0.0109,0.2917,0.0781,0.0325,-0.2449,0.3057,0.1477,0.176,-0.1108,0.4508,0.1495,0.2153,21.5,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.991,是,0.991,0.009,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为21.5%。
39,疾病_高脂血症 → 疾病_混合痔 → 检验_葡萄糖,0.1168,-0.0108,0.2428,0.0717,0.0548,-0.2267,0.3328,0.1503,0.1716,-0.1017,0.4482,0.1506,2.1322,213.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.98,是,0.98,0.02,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为213.2%。
40,疾病_高脂血症 → 药物_阿司匹林肠溶片 → 疾病_糖尿病,0.127,-0.0145,0.2908,0.0829,-0.1481,-0.3923,0.0893,0.127,-0.0211,-0.2888,0.2356,0.1424,0.5478,54.8,直接影响,强,正向中介,负向直接效应,部分中介,0.956,是,0.956,0.044,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为部分中介，中介比例为54.8%。
41,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_反流性食管炎,0.1994,0.0352,0.3814,0.0928,0.035,-0.2403,0.3329,0.1507,0.2343,-0.0253,0.4942,0.1403,2.1221,212.2,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.997,是,0.997,0.003,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为212.2%。
42,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_动脉硬化,0.1752,0.0117,0.3303,0.0875,0.1183,-0.1958,0.3972,0.1557,0.2935,0.0301,0.5687,0.1425,0.6535,65.4,间接影响（中介效应）,强,正向中介,正向直接效应,部分中介,0.991,是,0.991,0.009,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为65.4%。
43,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 疾病_混合痔,-0.1614,-0.3243,0.0034,0.0885,-0.0635,-0.3356,0.2395,0.1547,-0.2248,-0.4867,0.0459,0.1417,0.4863,48.6,间接影响（中介效应）,强,负向中介,负向直接效应,部分中介,0.9825,是,0.0175,0.9825,该路径存在显著的负向中介，主要通过间接影响发挥作用。 中介效应强度为部分中介，中介比例为48.6%。
44,药物_阿托伐他汀钙片 → 疾病_高脂血症 → 药物_阿司匹林肠溶片,0.0939,-0.0587,0.2629,0.0863,0.0772,-0.2219,0.3929,0.1625,0.1711,-0.0894,0.4299,0.1408,1.554,155.4,间接影响（中介效应）,强,正向中介,正向直接效应,完全中介,0.8875,否,0.8875,0.1125,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为155.4%。
45,药物_阿托伐他汀钙片 → 疾病_高尿酸血症 → 疾病_脂肪肝,0.011,-0.0541,0.084,0.0363,0.0155,-0.2656,0.3203,0.1546,0.0264,-0.2484,0.3227,0.1524,-0.0193,-1.9,直接影响,强,正向中介,正向直接效应,弱中介,0.622,否,0.622,0.378,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-1.9%。
46,检验_钠 → 疾病_高脂血症 → 疾病_反流性食管炎,0.0759,-0.0315,0.2077,0.065,0.1103,-0.1664,0.3539,0.1359,0.1863,-0.0885,0.4497,0.1447,0.3084,30.8,直接影响,强,正向中介,正向直接效应,部分中介,0.913,否,0.913,0.087,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为30.8%。
47,检验_钠 → 疾病_高脂血症 → 药物_阿托伐他汀钙片,0.0943,-0.0379,0.2472,0.0762,-0.1107,-0.3718,0.1312,0.1345,-0.0165,-0.3221,0.2466,0.1493,-7.901,-790.1,直接影响,强,正向中介,负向直接效应,完全中介,0.915,否,0.915,0.085,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-790.1%。
48,检验_钠 → 疾病_高脂血症 → 疾病_动脉硬化,0.0878,-0.0401,0.2263,0.0731,-0.2718,-0.5271,-0.0209,0.1323,-0.184,-0.4371,0.1009,0.1441,-0.2006,-20.1,直接影响,强,正向中介,负向直接效应,部分中介,0.914,否,0.914,0.086,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-20.1%。
49,检验_钠 → 疾病_高脂血症 → 疾病_混合痔,-0.061,-0.1717,0.0293,0.0562,-0.1751,-0.4412,0.0697,0.136,-0.2361,-0.5158,0.0159,0.1431,-2.9513,-295.1,直接影响,强,负向中介,负向直接效应,完全中介,0.888,否,0.112,0.888,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-295.1%。
50,检验_钠 → 疾病_高脂血症 → 药物_阿司匹林肠溶片,0.0345,-0.0302,0.1213,0.0422,0.2546,0.0041,0.5324,0.1437,0.2892,0.0227,0.5527,0.1443,0.1375,13.8,直接影响,强,正向中介,正向直接效应,弱中介,0.8315,否,0.8315,0.1685,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为13.8%。
51,检验_钠 → 检验_氯 → 检验_葡萄糖,-0.0878,-0.2244,0.0388,0.0717,0.1754,-0.117,0.475,0.1582,0.0876,-0.1717,0.3909,0.1494,-3.625,-362.5,直接影响,强,负向中介,正向直接效应,完全中介,0.923,否,0.077,0.923,该路径的中介效应不显著。 中介效应强度为完全中介，中介比例为-362.5%。
52,检验_钠 → 检验_氯 → 药物_肝素钠注射液,0.1648,0.0179,0.3118,0.0818,-0.224,-0.4875,0.076,0.1476,-0.0593,-0.3401,0.2104,0.1458,-0.1127,-11.3,直接影响,强,正向中介,负向直接效应,弱中介,0.994,是,0.994,0.006,该路径存在显著的负向直接效应，主要通过直接影响发挥作用。 中介效应强度为弱中介，中介比例为-11.3%。
53,检验_钠 → 药物_阿司匹林肠溶片 → 疾病_糖尿病,0.1537,0.0052,0.3168,0.0859,-0.06,-0.2984,0.1844,0.1307,0.0937,-0.1876,0.3609,0.1458,1.5118,151.2,间接影响（中介效应）,强,正向中介,负向直接效应,完全中介,0.9825,是,0.9825,0.0175,该路径存在显著的正向中介，主要通过间接影响发挥作用。 中介效应强度为完全中介，中介比例为151.2%。
54,检验_钠 → 检验_谷草/谷丙 → 检验_钾,0.0642,-0.0153,0.1738,0.053,-0.1693,-0.4355,0.1018,0.1452,-0.105,-0.3802,0.1551,0.1445,-0.1737,-17.4,直接影响,强,正向中介,负向直接效应,弱中介,0.931,否,0.931,0.069,该路径的中介效应不显著。 中介效应强度为弱中介，中介比例为-17.4%。
55,检验_钠 → 检验_谷草/谷丙 → 药物_艾司唑仑片,0.0172,-0.0679,0.1175,0.0465,-0.0065,-0.3032,0.283,0.1578,0.0107,-0.2722,0.3002,0.1534,-0.4933,-49.3,间接影响（中介效应）,强,正向中介,负向直接效应,部分中介,0.6525,否,0.6525,0.3475,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-49.3%。
56,检验_钠 → 检验_谷草/谷丙 → 疾病_糖尿病,-0.0574,-0.1544,0.024,0.0513,0.1478,-0.1502,0.4169,0.1528,0.0903,-0.1799,0.3762,0.1512,-0.5301,-53.0,直接影响,强,负向中介,正向直接效应,部分中介,0.919,否,0.081,0.919,该路径的中介效应不显著。 中介效应强度为部分中介，中介比例为-53.0%。
